Pool_Name,Pool_Address,Pool_Stage,Strategy_Name,Strategy_Address,Weight
vaALUSD,0x8BCdd6a8168d658dFA19721eaB7470e43398Db25,orbit,RariFuse-Strategy,0x8B3AC0f18Eae871b83b9212345E736735e6604d6,0
vaALUSD,0x8BCdd6a8168d658dFA19721eaB7470e43398Db25,orbit,RariFuse-Strategy,0xc6e5505d7C501D51e9d69669b1C393079Fc426D0,0
vaALUSD,0x8BCdd6a8168d658dFA19721eaB7470e43398Db25,orbit,RariFuse-Strategy,0xf4BB5824F3e5b6314e1c0A8BE60c733B3dB53786,0
vaALUSD,0x8BCdd6a8168d658dFA19721eaB7470e43398Db25,orbit,ConvexD3PoolStrategyAlUSD,0xa3Bf97238A715C84D655f8683886C66718fd33CF,0.9485
vaAPE,0xA5Bc6eB0A7E6738e2F2Ac6c92280b32771aC52Ad,orbit,RariFuseStrategyAPE,0xb436d8a2e3e23aF57040B2dA8E01463c818e0999,0.95
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,RariFuse-Strategy-DAI,0x5495f41144ECeF9233f15AC3E4283f5F653fc96c,0
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,Curve-Convex-3pool-DAI-Strategy,0x6897d2cBf66e317bdE74595C455BeE09cf144136,0
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,Yearn-Strategy-DAI,0xA385821a6f24a1e541ab22448eb03aE9f21a1611,0
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,RariFuse-Strategy,0xd10427bbd5D20f6b3f8c50a9447d8ac50CDC15bf,0.1286
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,RariFuse-Strategy,0x81649be6A4f00E3098DA5ff4b166122de4f05cC1,0.4
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,RariFuse-Strategy,0x44A1423A9b72488Ea4875aEE209706Ac09917e0D,0
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,RariFuse-Strategy,0x863FB34417f6a13e6179d946Eb3e2c03157d8f42,0
vaDAI,0x0538C8bAc84E95A9dF8aC10Aad17DbE81b9E36ee,prod,Convex4MetaPoolStrategyFRAXPool,0xBD5862Ae6C6f98ac2aaAd83A26D58744c1250C10,0.4299
vaDPI,0x9b91ab47cefC35dbe4DDCC7983fFA1fB40795663,prod,Alpha-Lend-Strategy-DPI,0xef9a768880b4996cddB8C24a26F4b00d6e8ed35E,0.5
vaDPI,0x9b91ab47cefC35dbe4DDCC7983fFA1fB40795663,prod,AaveStrategyDPI,0x09c21F950ECB6b714E08D4411764C5036E53EBA9,0.45
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,Alpha-Lend-Strategy-ETH,0xeCe0f32840280aD0069Dd89Ad97Ad6dF1bB0fF2A,0
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,RariFuse-Strategy,0x78041341e79693953AB49f5040d3Ac8cA8cd2397,0.25
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,Vesper-Maker-Strategy-ETH,0xc5CdF8CBE886FC5c1EF5CD4fdd599C975eC6BB54,0.7
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,RariFuse-Strategy,0x67893865686C22f0a243114B0893De65117d2f3b,0
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,CompoundLeverageStrategyETH,0xFA4b6B138892E0005e9D385D6D4EcD35a9cC68dd,0
vaETH,0xd1C117319B3595fbc39b471AB1fd485629eb05F2,prod,InverseCompoundLeverageStrategyETH,0x3A41aD519a248a5682da0FaC424F74350C0e3017,0
vaFEI,0x2B6c40Ef15Db0D78D08A7D1b4E12d57E88a3e324,orbit,RariFuse-Strategy,0x0a46A9716b4632A57863d52123c5c10FDF9e10F8,0
vaFEI,0x2B6c40Ef15Db0D78D08A7D1b4E12d57E88a3e324,orbit,RariFuse-Strategy,0xf5A66196306855821159e41f4dDbb71Ae5663825,0.95
vaFEI,0x2B6c40Ef15Db0D78D08A7D1b4E12d57E88a3e324,orbit,RariFuse-Strategy,0x187C51C9803424efe1Cbe62cFFc0D99B6912c0F6,0
vaFEI,0x2B6c40Ef15Db0D78D08A7D1b4E12d57E88a3e324,orbit,Aave-Strategy-FEI,0xD5b60408f4513B112C7138a45b02C280249aCfb2,0
vaFEI,0x2B6c40Ef15Db0D78D08A7D1b4E12d57E88a3e324,orbit,ConvexD3PoolStrategyFEI,0x2E746ADfdA5fCBb3E145Af4415632630Abd199D6,0
vaFRAX,0xc14900dFB1Aa54e7674e1eCf9ce02b3b35157ba5,orbit,RariFuse-Strategy,0x463C835f2959c52F99D65b5E712F3806c7E6A46F,0
vaFRAX,0xc14900dFB1Aa54e7674e1eCf9ce02b3b35157ba5,orbit,RariFuse-Strategy,0xF95fB643C7b26Afe64a6DaF7E2B84D9eDa6559BB,0
vaFRAX,0xc14900dFB1Aa54e7674e1eCf9ce02b3b35157ba5,orbit,RariFuse-Strategy,0xeCF139cF1a5D902b191818F182b48f0301CA0bD6,0
vaFRAX,0xc14900dFB1Aa54e7674e1eCf9ce02b3b35157ba5,orbit,RariFuse-Strategy,0x13AECC59A88A65F02E053eEce29d743a952D6f1e,0
vaFRAX,0xc14900dFB1Aa54e7674e1eCf9ce02b3b35157ba5,orbit,Convex4MetaPoolStrategyFRAXPool,0x6c8E1186c4d768955f66050C2a967F8043Ea295C,0.9469
vaLINK,0xef4F4604106de23CDadfEAE08fcC34602cB475C1,prod,CompoundLeverageStrategyLINK,0x4634826b13A6f4edED44539a9AAE119438c1517b,0.95
